global_object_id,field_id,mean_ra,mean_dcl,sigma_ra,sigma_dcl,n_epochs,flux_u,sigma_flux_u,flux_v,sigma_flux_v,flux_g,sigma_flux_g,flux_r,sigma_flux_r,flux_i,sigma_flux_i,flux_z,sigma_flux_z
159808,1,2.12348928481293,-1.165003949,0.0043288488,0.0040970207,3,20.71439,0.50415522,20.71439,0.50415522,57.791534,0.76681662,84.791183,1.1812955,97.214211,1.7972738,100.92711,3.016485
159936,1,2.27112653187868,-1.137933904,0.0036358198,0.0033715412,3,3.342828,0.36395752,3.342828,0.36395752,28.945768,0.41652542,105.16992,1.4433877,260.064,4.66572,408.49026,10.757454
160000,1,2.52011594222364,-1.091753182,0.0060396167,0.0059482954,3,10.832507,0.44735202,10.832507,0.44735202,27.409603,0.52203655,35.807743,0.70417106,38.365475,0.61816692,39.573395,1.4172283
459840,1,0.438893276554599,-1.239564115,0.0053439066,0.0056815431,3,4.4424911,0.29487944,4.4424911,0.29487944,30.666307,0.54880083,83.245003,1.4749551,116.00008,2.4144096,156.12109,2.0842199
459904,1,1.1840890165788,-1.60421771,0.096979201,0.10084007,3,7768.7046,97.188385,7768.7046,97.188385,22606.57,4.8532825,34808.711,6.1956635,38200.09,7.7050838,11237.32,9.7580709
459968,1,0.751650713108931,-0.87841911,0.005945506,0.0066906768,3,0.94488299,0.25495002,0.94488299,0.25495002,9.3972349,0.32135725,36.698586,0.55631423,75.789536,1.3545138,115.59526,1.9703335
460032,1,0.592613298518616,-2.03782765,0.0059427074,0.0068724691,3,5.4281368,0.2889038,5.4281368,0.2889038,23.785177,0.57997394,61.16758,1.2744335,84.688942,2.0540898,108.38651,3.0031791
460096,1,0.591324260441429,-2.10045258,0.0025733016,0.0024916192,3,7.6804919,0.3963255,7.6804919,0.3963255,58.051937,1.4068663,145.19901,3.0956488,201.69925,4.9233613,222.50102,5.9666677
460288,1,2.52970328185622,-1.74589745,0.06667617,0.058654141,3,709.88605,12.890113,709.88605,12.890113,2539.8501,37.78513,3851.8379,2.15012,4406.2168,2.815115,4669.8682,82.160141
460352,1,2.41352708688266,-1.40016763,0.0019768872,0.0018120367,3,36.217411,0.76693994,36.217411,0.76693994,121.87448,1.9464686,189.61092,3.0656967,223.39487,2.3137984,244.90863,4.7094426
460416,1,2.24816522453116,-1.69455639,0.0056176987,0.0052391333,3,1.441572,0.22636463,1.441572,0.22636463,10.810827,0.18864347,36.649166,0.47661361,127.94095,1.60642,243.84703,3.2507994
460480,1,2.53232177529764,-1.48912544,0.0011951884,0.0011374052,3,61.913834,0.96213597,61.913834,0.96213597,194.74387,3.1742194,303.79001,3.7634432,343.53845,7.5239029,375.07214,6.4885836
460544,1,0.131574036895724,-1.42445867,0.008336884,0.01096675,3,10.5944,0.433889,10.5944,0.433889,26.058634,0.51388603,48.539085,0.8856979,75.827805,1.2806281,80.566513,1.6603051
460864,1,2.53115350664713,-1.03822057,0.065463766,0.05630409,3,801.91974,17.302599,801.91974,17.302599,3257.5728,56.493958,6011.4395,2.7283733,7524.3613,3.5022457,8673.6143,151.57758
461056,1,0.290651726722936,-1.31081885,0.0022925818,0.0024655901,3,41.856995,1.0111296,41.856995,1.0111296,126.8346,2.1229222,186.64618,3.2142878,208.2224,4.2481327,219.69568,2.6176846
461248,1,1.50023019483695,-1.095222649,0.0028658903,0.0029228011,3,2.4614091,0.22880433,2.4614091,0.22880433,27.98275,0.61046487,99.279694,1.1893229,183.74785,2.6854081,246.9857,2.9011354
461312,1,1.78470895821938,-0.99565141,0.076802462,0.084159873,3,997.79248,9.6909418,997.79248,9.6909418,4852.6284,2.2877905,8303.4727,3.092376,9742.7031,4.051074,10206.95,102.71683
461376,1,1.9388317861562,-1.102616486,8.6493674E-4,8.3588861E-4,3,221.65088,2.3905323,221.65088,2.3905323,641.61859,13.315158,893.29309,10.209842,995.35278,14.227859,1067.4945,11.055863
461440,1,1.6270814851425,-1.1796180544,0.0028746161,0.0028284269,3,1.810376,0.22265466,1.810376,0.22265466,25.986755,0.58138573,99.522964,1.919103,224.22395,2.6376503,361.76248,6.2718425
461504,1,0.595191428276821,-1.252824006,0.001028297,0.0011075654,3,125.60468,2.4410872,125.60468,2.4410872,488.01038,8.5891514,786.46967,13.034114,935.07965,15.707395,977.4317,13.554778
461568,1,0.438812709999655,-1.163302594,0.0056387428,0.006221734,3,1.738902,0.2700507,1.738902,0.2700507,12.43228,0.26118356,44.154629,0.78229952,81.198372,1.4274533,116.18032,2.0415008
461632,1,1.49680622345949,-1.36179369,0.0054294555,0.0052583232,3,1.214478,0.1908461,1.214478,0.1908461,12.4218,0.24727789,42.355499,0.70860475,78.606796,0.96695381,109.92295,2.5347424
461696,1,1.33998438913013,-1.41284673,9.6216262E-4,9.5478003E-4,3,137.92659,2.1509855,137.92659,2.1509855,533.09583,11.178186,929.97455,18.649714,1176.8644,15.180963,1312.3568,23.865431
462144,1,1.49455035992106,-1.4800827,0.0011334941,0.0010957969,3,86.389969,1.4341846,86.389969,1.4341846,372.06906,7.8077364,631.11859,12.664348,740.19604,9.5694876,792.02808,14.500269
462208,1,1.03193998883236,-1.49330158,0.073638171,0.079096451,3,126.96201,1.9951974,126.96201,1.9951974,806.41022,16.889692,1641.5365,1.5584853,2138.0256,27.52231,2496.9917,45.23632
462272,1,0.598454346950134,-1.06622332,0.0022996848,0.0025489689,3,5.2075648,0.33501673,5.2075648,0.33501673,52.79147,1.2136585,169.19992,2.9044621,295.58368,6.1867638,400.66541,5.4413762
462336,1,0.595312278109237,-0.87945861,0.0037293653,0.0043893536,3,12.323976,0.47143966,12.323976,0.47143966,43.743961,1.393929,76.982666,1.0988932,94.636292,1.676833,102.98923,1.8685682
462400,1,0.434018999980493,-1.92142788,0.0072121127,0.0078803338,3,4.0214758,0.26728752,4.0214758,0.26728752,18.901583,0.46748668,52.452003,1.0987744,72.257034,1.762742,84.892021,2.4006646
462464,1,1.03588777682653,-0.91247196,0.0048387814,0.005197078,3,-0.125507,0.23648322,-0.125507,0.23648322,10.952217,0.36834329,41.993073,0.62074739,106.86602,1.8676847,183.81863,2.7394383
462528,1,2.52974353833178,-1.81959644,0.0026605278,0.0024731664,3,5.1844702,0.31311348,5.1844702,0.31311348,30.283022,0.49616954,66.080338,0.83723295,86.483398,1.7931833,103.43454,2.1233625
280000,1,2.59065147864256,-1.83714882,0.002904125,0.0024720149,3,10.848376,0.38244101,10.848376,0.38244101,40.00885,0.63381898,65.085686,0.82506877,74.626518,1.5549372,79.09449,1.7226101
280256,1,1.7429354406982,-1.093214211,0.10434082,0.10716191,3,1497.3083,14.394753,1497.3083,14.394753,6631.8384,2.66517,12157.49,3.7370188,14990.74,4.9617558,7790.3379,8.5289593
280384,1,0.657750956162033,-2.17776123,0.064242586,0.065868601,3,327.00778,7.6651421,327.00778,7.6651421,1016.2929,17.210155,1560.4403,1.4942576,1761.8706,18.392408,1850.2172,29.854589
280448,1,0.656381324727987,-2.2211782,0.0026639467,0.0026984545,3,2.8603671,0.20193109,2.8603671,0.20193109,26.329878,0.48221833,89.444199,1.1954917,193.06888,2.087569,289.83707,4.8737016
280832,1,0.793545080462522,-2.0918161,0.003056722,0.0030869402,3,2.312423,0.2033087,2.312423,0.2033087,22.298225,0.42387214,63.917816,1.3004165,94.655869,1.1400434,119.2647,1.9292836
281408,1,1.15713966476156,-2.10474125,0.0021924379,0.0021522604,3,23.252594,0.68364775,23.252594,0.68364775,71.78907,1.2773517,108.04556,2.1687689,130.79474,1.5392231,146.28906,2.2889168
281536,1,1.38022714210738,-1.70290772,0.0016080814,0.0016152172,3,31.987827,0.61161768,31.987827,0.61161768,120.98341,2.1140752,195.06879,2.0027215,229.21959,2.8855011,246.21402,3.0042768
281600,1,1.37905887345686,-1.60266036,0.0024882201,0.0025026889,3,28.960621,0.57429284,28.960621,0.57429284,65.784515,1.1641381,87.079735,0.92956799,92.366005,1.2084401,94.889084,1.4045955
281728,1,1.92964733290217,-1.02960603,0.0058202068,0.0056665465,3,3.008846,0.28200287,3.008846,0.28200287,17.872252,0.40499038,52.692356,0.67813241,74.440971,1.1640071,101.31032,1.5497638
281792,1,0.67152772984978,-1.99041763,0.0061843828,0.0062146499,3,3.8292201,0.26363599,3.8292201,0.26363599,21.928122,0.53743201,60.325172,1.2572193,83.106392,2.0174868,105.92615,2.9372535
282048,1,0.0833552539432495,-1.33095377,0.0037983346,0.0042796247,3,26.146423,0.761913,26.146423,0.761913,58.542484,1.1084002,79.36969,1.4139944,87.025398,1.4545581,87.407051,1.7778684
282176,1,1.28443401751547,-1.15471285,4.7119477E-4,4.8087197E-4,3,319.39413,4.9815402,319.39413,4.9815402,1344.6741,21.753981,2192.1221,33.064896,940.41162,1.5921286,2647.2622,44.305058
282240,1,1.42997658775651,-1.08207148,0.064018823,0.062217169,3,427.06067,6.5812263,427.06067,6.5812263,2427.9014,39.252045,4587.7568,2.3185201,5888.1187,3.0881705,6673.8936,111.36454
282368,1,1.69032580194282,-1.48145789,7.8734517E-4,7.9627166E-4,3,20.898373,0.86867172,20.898373,0.86867172,235.07794,6.676466,868.80695,14.071633,2128.3083,30.294088,3404.4902,74.132408
282432,1,1.84025930303213,-1.60393352,0.0027640786,0.0028367233,3,2.2325909,0.20901576,2.2325909,0.20901576,23.236332,0.68139166,81.555176,1.356061,140.07166,2.0490942,188.20001,4.2671967
282560,1,1.40274527979888,-1.81023708,0.065573737,0.066357821,3,836.33258,10.716088,836.33258,10.716088,2283.2324,35.108486,158.81317,2.1753991,829.59186,10.498476,3788.7498,46.353851
282624,1,1.56774451224738,-1.82881371,0.0019002213,0.0018989028,3,17.499649,0.42119908,17.499649,0.42119908,71.447975,1.1341784,136.22913,1.5271269,175.91023,2.1790268,212.25447,2.8860059
282688,1,0.0464157189979412,-1.92704121,0.0018440974,0.0019095737,3,9.4554195,0.44314277,9.4554195,0.44314277,79.844032,1.064436,183.36247,2.5063996,247.28337,2.5918741,356.86954,7.7213745
282944,1,2.72592194713783,-1.76878086,0.083160222,0.10215437,3,3356.0864,46.88229,3356.0864,46.88229,10896.32,3.3103328,16801.92,4.246562,19054.1,5.4471049,18417.99,11.658845
341632,1,2.57421606224549,-1.97613064,0.0059464127,0.0053006709,3,1.51981,0.3285304,1.51981,0.3285304,14.902534,0.21461789,49.242817,0.74300581,82.206459,1.023025,116.83399,2.4503107
341696,1,2.58223240766049,-1.95399777,0.0038492521,0.0034969624,3,13.993378,0.50756353,13.993378,0.50756353,51.799843,0.51808786,88.992798,1.2687842,108.21011,1.3109932,123.87399,2.6053772
341760,1,2.59173923434196,-2.09406105,0.0028065117,0.0025432683,3,3.654675,0.36056983,3.654675,0.36056983,38.155197,0.41928098,143.25951,1.9925261,346.54999,3.9431551,569.96057,9.331542
341824,1,2.66219412380018,-1.98600021,0.0048400243,0.0045519457,3,2.4283891,0.33849868,2.4283891,0.33849868,20.889471,0.26150614,61.282223,0.8979407,95.621803,1.1589243,123.99816,2.5442574
341888,1,2.69019097484127,-2.10196224,0.0079973415,0.0072904164,3,4.231164,0.41216576,4.231164,0.41216576,22.404232,0.27147949,58.414566,0.86004424,84.664757,1.0533355,114.49902,2.4189119
341952,1,2.69969788192848,-1.95255867,0.0030897348,0.0029399451,3,3.1814809,0.34954184,3.1814809,0.34954184,32.143513,0.3504231,111.33561,1.5636476,213.6685,2.4628525,314.20776,5.3572536
342016,1,2.71774468302825,-2.01003281,0.0036639348,0.0034889586,3,10.038084,0.44383171,10.038084,0.44383171,46.215366,0.47379526,86.515427,1.2590076,112.00485,1.3440168,125.42236,2.563597
342080,1,2.7533143077996,-1.98981587,0.0071384353,0.0066087064,3,0.54766202,0.31671917,0.54766202,0.31671917,10.205071,0.18037263,36.070805,0.56231701,91.114708,1.1175054,154.8168,2.971719
342144,1,2.78179455817035,-2.07290474,0.0068242741,0.0063466183,3,0.87614697,0.32439044,0.87614697,0.32439044,10.215999,0.1724675,37.163708,0.58516985,75.240883,0.94954985,109.63752,2.3530195
342208,1,1.24181463157313,-1.4721815,0.0015909568,0.0015878385,3,8.5582933,0.32314241,8.5582933,0.32314241,84.961189,1.80521,328.39627,6.6045818,760.81317,9.8351669,1157.6215,21.082928
342272,1,1.7203366292441,-1.128885442,0.0012023855,0.0011873671,3,58.874386,0.85499978,58.874386,0.85499978,274.12775,5.7047935,483.19882,5.5446138,606.61676,8.695981,693.59619,7.3309765
342336,1,2.02338590313535,-1.05498903,0.0045595197,0.0043953904,3,2.586472,0.22958025,2.586472,0.22958025,17.895491,0.40272695,43.654743,0.55980861,62.751007,0.97497565,82.944351,1.3701587
342400,1,2.23257567655526,-1.46832961,0.0053618471,0.0049148072,3,1.337528,0.24382755,1.337528,0.24382755,12.26107,0.21876636,41.513332,0.75573206,74.878319,0.91560465,103.74284,2.0856519
342464,1,2.98703638278461,-1.9667894,0.0046239579,0.004291343,3,16.047922,0.49476403,16.047922,0.49476403,44.404503,1.4732494,61.780922,0.57551759,69.664108,1.102351,75.048622,2.0146759
342528,1,2.40120048438198,-1.40325277,0.0027768712,0.00253004,3,4.1455188,0.28319147,4.1455188,0.28319147,34.801239,0.57735366,105.10885,1.7198182,168.50893,1.7663132,228.04655,4.4151077
342912,1,1.39916014850962,-1.175112897,0.0061940379,0.0061444221,3,2.61572,0.24257146,2.61572,0.24257146,15.835453,0.37972891,37.485462,0.76299852,49.063889,0.68227267,60.394325,1.4245592
342976,1,1.3997240607904,-1.170121366,0.0060329689,0.0059344438,3,3.10147,0.22091295,3.10147,0.22091295,19.626579,0.46719328,56.248081,1.1153693,80.98082,1.0429258,110.34348,2.1823087
