global_object_id,field_id,mean_ra,mean_dcl,sigma_ra,sigma_dcl,n_epochs,flux_u,sigma_flux_u,flux_v,sigma_flux_v,flux_g,sigma_flux_g,flux_r,sigma_flux_r,flux_i,sigma_flux_i,flux_z,sigma_flux_z
651776,79,179.262075704958,-1.52711124,0.002367252,0.0023472437,3,10.795652,0.4374333,10.795652,0.4374333,90.496468,2.7336388,228.52591,7.5692439,316.00568,5.2045932,385.70145,3.8989985
651840,79,178.736220990267,-0.19057766,0.0055460539,0.005299909,3,5.691885,0.39562261,5.691885,0.39562261,22.238098,0.35023606,39.806652,0.65433913,50.144276,0.91230774,55.759392,1.4898134
651904,79,180.478945473096,-1.56830806,0.0013352546,0.0013080725,3,33.07925,0.63902658,33.07925,0.63902658,229.54337,7.7066855,487.13736,6.3381333,619.53369,9.5721178,707.95459,15.329185
652288,79,178.171372411408,-0.99396246,0.0015379278,0.0015254044,3,124.292,1.6180869,124.292,1.6180869,294.00626,4.803586,384.16879,5.839273,408.43774,6.8929462,421.24957,8.6377172
652480,79,180.337149167254,-1.53756351,0.0030096113,0.0028584383,3,3.0544851,0.3447533,3.0544851,0.3447533,32.732777,1.1308911,125.27367,1.7486233,223.15561,3.8006608,317.12491,7.3807273
652544,79,179.716387640482,-1.273484406,0.0011763821,0.0011382169,3,252.33615,16.421833,252.33615,16.421833,593.29352,10.616261,746.68866,13.626292,872.18695,22.014322,916.33466,13.062139
652608,79,179.715179276167,-1.211700612,0.0029615129,0.0028359762,3,6.6046162,0.61815763,6.6046162,0.61815763,59.662571,1.1013296,153.55602,2.835331,232.78255,5.9064159,289.92761,4.5151901
652672,79,178.494482569867,-1.31750791,0.074949518,0.067826338,3,2366.4292,113.95107,2366.4292,113.95107,8401.1553,8.3385468,13826.98,23.406607,16753.131,17.131989,18861.721,506.84128
652736,79,178.649491710314,-1.31040495,0.0065729446,0.0052418285,3,7.4074202,0.56439817,7.4074202,0.56439817,35.059464,0.87759691,73.571144,3.4021873,109.26443,1.876166,141.60645,4.1923652
652992,79,180.798832969357,-1.5618679,0.01025103,0.0091538178,3,2.3703041,0.33264303,2.3703041,0.33264303,12.307686,0.25894389,36.428234,1.25711,54.303123,1.2651459,79.140396,2.4929054
653056,79,178.954353678088,-1.254571137,4.7795218E-4,4.8535783E-4,3,760.0882,34.420731,760.0882,34.420731,2950.3235,42.84964,4501.4385,134.56067,5122.5547,3.2558613,5315.7944,81.603806
653120,79,178.796283062157,-1.157267743,0.0057098726,0.0054123616,3,17.835327,0.94738948,17.835327,0.94738948,47.810982,0.74033749,65.296211,1.9857929,74.680931,1.3303119,77.486359,2.006649
653184,79,178.804097964382,-1.23979395,0.0043777833,0.0042887386,3,27.54056,1.362518,27.54056,1.362518,67.952202,1.0285796,86.257881,2.607573,101.3497,1.7500579,104.24586,2.3865125
653376,79,179.604360676692,-1.143280202,0.0020714374,0.0019618403,3,57.678669,3.8102496,57.678669,3.8102496,200.188,3.6029077,292.46085,5.3611016,361.23767,9.1428156,378.46304,5.6961799
894592,79,180.657318700062,-0.47327725,0.002873145,0.0027650013,3,6.7504129,0.50441027,6.7504129,0.50441027,50.440865,1.2831432,125.90603,1.2181569,182.2756,2.6185818,226.65764,3.9563413
894656,79,180.658366065276,-0.42788616,0.0018431831,0.0017587136,3,6.9013309,0.41096646,6.9013309,0.41096646,84.445816,2.1266825,270.19427,2.5269048,429.35641,6.0805163,546.17487,9.0999384
894976,79,179.711231488173,-0.0546055999999999,0.004737068,0.0062063779,3,9.2618723,0.38603523,9.2618723,0.38603523,45.290447,0.93890381,85.952332,1.3806559,106.61561,2.5297573,138.715,3.362071
895232,79,179.713406811958,-0.4936525,0.0041775028,0.0040470818,3,2.1635311,0.30765858,2.1635311,0.30765858,24.120335,0.58870298,78.306168,1.191346,136.46635,4.1096621,188.37762,3.1697671
895296,79,179.865193209802,-0.33068577,0.0012048926,0.0011290164,3,55.245903,1.7975904,55.245903,1.7975904,343.05453,8.9101229,671.44122,9.1581392,874.62518,18.687105,984.32678,18.020704
895360,79,180.032327536362,-0.29114166,0.0042643812,0.004153932,3,2.868103,0.37327272,2.868103,0.37327272,27.976742,0.75610566,67.534126,0.97584665,93.667274,2.0434649,119.94921,2.4945025
895680,79,180.187658889425,-0.41228882,0.0026908924,0.0026653048,3,3.5950511,0.35500318,3.5950511,0.35500318,39.943176,1.06311,136.79344,1.9062806,236.50775,5.0819726,314.7305,5.9361033
896448,79,179.232024621181,-0.0477783000000001,0.003560255,0.0033238193,3,6.9403372,0.40993652,6.9403372,0.40993652,42.628128,1.042792,86.515625,1.2606802,108.26078,2.4681427,124.27122,2.5099576
530688,79,179.345783765903,-1.376877,0.0036538155,0.0034705626,3,1.679159,0.25199118,1.679159,0.25199118,16.2092,0.37234536,57.172066,0.91963679,199.00211,3.6359069,379.60303,5.1762776
530752,79,179.61672756247,-1.83811775,0.0023306778,0.0022609283,3,3.2869029,0.24271271,3.2869029,0.24271271,28.953627,0.50974298,106.82882,1.8585531,226.02692,2.8900528,353.09973,4.6869392
530880,79,180.725719276378,-1.8455669,0.0040079695,0.0037581166,3,0.89568299,0.16637319,0.89568299,0.16637319,10.868135,0.21705581,39.658978,0.77914,110.42549,1.6732354,191.47041,3.5468354
531072,79,179.805977113541,-1.51340694,0.0029391469,0.0028645515,3,2.9621379,0.27137706,2.9621379,0.27137706,23.708059,0.46474439,81.692574,1.197246,157.61696,3.3744714,205.08609,4.3145952
