new_object_id,mean_epoch,ra,dcl,pi,sigma_pi,mu_x,mu_y,sigma_mu_x,sigma_mu_y,mean_u,mean_v,mean_g,mean_r,mean_i,mean_z,sigma_u,sigma_v,sigma_g,sigma_r,sigma_i,sigma_z,petro_u,petro_v,petro_g,petro_r,petro_i,petro_z,petro_sigma_u,petro_sigma_v,petro_sigma_g,petro_sigma_r,petro_sigma_i,petro_sigma_z,variability,transient,a,b,theta,sigma_a,sigma_b,sigma_theta,radius_frac_20,radius_frac_90,class_star,class_desc,field_id_1,object_id_1,field_id_2,object_id_2,field_id_3,object_id_3,field_id_4,object_id_4
12009387,1,178.383341516558,-2.04619042,9.9999997E-5,0.0099999998,9.9999997E-5,9.9999997E-5,0.0099999998,0.0099999998,0.158344,0.158344,0.57964897,1.7518049,2.8587799,3.760896,0.34779283,0.34779283,0.14696479,0.22894837,0.38790765,1.5114295,-0.063444003,-0.063444003,0.54710603,1.3904409,2.891706,0.67945498,0.5919416,0.5919416,0.24895579,0.47843128,0.7602635,3.0805709,1.2226329E-40,false,0.32001108,6.4002213,41.669487,0.059726719,1.1945343,5.0,0.67146301,1.085433,0.99000001," 'Star'   ",1,37463,0,0,0,0,0,0
19028139,1,178.37383487749,-1.98633019,9.9999997E-5,0.0099999998,9.9999997E-5,9.9999997E-5,0.0099999998,0.0099999998,-0.21147101,-0.21147101,1.605311,1.86622,2.953934,1.036146,0.35671923,0.35671923,0.15119594,0.22781174,0.60338986,1.502703,0.068827003,0.068827003,1.146691,3.259835,2.043833,-0.025629999,1.1884911,1.1884911,0.50913996,1.4491719,1.3519255,9.3872919,1.2226329E-40,false,1.6255591,4.6446934,87.312538,0.64513367,1.8433338,5.0,1.471192,4.7561731,0.0099999998," 'Galaxy' ",1,160599,0,0,0,0,0,0
18604230,1,178.205975559143,-2.16094509,9.9999997E-5,0.0099999998,9.9999997E-5,9.9999997E-5,0.0099999998,0.0099999998,4.6183481,4.6183481,17.40049,31.030573,37.159336,44.529694,0.44528669,0.44528669,0.36988944,0.85326749,1.0261966,1.7658725,6.1246481,6.1246481,16.637051,29.519171,38.533707,46.01926,0.6951347,0.6951347,0.3039313,0.54879957,0.83884323,3.4675224,1.2226329E-40,false,1.0086361,2.5409844,105.12089,0.02903023,0.073133767,5.0,0.782897,1.775355,0.99000001," 'Star'   ",1,153162,0,0,0,0,0,0
18606795,1,178.360017954535,-2.04961792,9.9999997E-5,0.0099999998,9.9999997E-5,9.9999997E-5,0.0099999998,0.0099999998,0.27916101,0.27916101,0.475099,0.69336802,2.3746641,2.170558,0.3490487,0.3490487,0.15462625,0.22469535,0.38592109,1.5031375,0.222712,0.222712,0.32463101,0.85266697,2.2037449,6.0529361,0.68451482,0.68451482,0.31417164,0.56765503,0.86352664,6.6164255,1.2226329E-40,false,0.66416496,13.283299,-0.81910801,-223.6068,-4472.1357,5.0,0.90428102,2.968127,0.99000001," 'Star'   ",1,153207,0,0,0,0,0,0
18650856,1,178.351638872009,-1.99077335,9.9999997E-5,0.0099999998,9.9999997E-5,9.9999997E-5,0.0099999998,0.0099999998,0.44945699,0.44945699,6.4689751,15.534486,21.798391,26.259748,0.36395976,0.36395976,0.19849654,0.36783054,0.53272009,1.6393421,-0.27787101,-0.27787101,6.1684408,14.959248,21.132368,25.850517,0.70897955,0.70897955,0.28339788,0.51847053,0.7974847,3.3495059,1.2226329E-40,false,1.2933973,1.879714,134.44984,0.054045703,0.078545444,5.0,0.76317799,1.638775,0.99000001," 'Star'   ",1,153980,0,0,0,0,0,0
18651483,1,178.355667199756,-1.9860355,9.9999997E-5,0.0099999998,9.9999997E-5,9.9999997E-5,0.0099999998,0.0099999998,0.13778099,0.13778099,1.294031,2.3818619,2.8661921,2.5107069,0.36110118,0.36110118,0.14948851,0.2302807,0.38857538,1.5047466,0.64361602,0.64361602,0.91842902,2.3669341,1.771643,3.3152249,0.88769001,0.88769001,0.36658719,0.74198228,1.0393534,5.1771097,1.2226329E-40,false,0.4721109,9.4422178,81.408882,0.12309041,2.4618082,5.0,0.79821301,1.593191,0.99000001," 'Star'   ",1,153991,0,0,0,0,0,0
12248673,1,178.399737051707,-2.04991928,9.9999997E-5,0.0099999998,9.9999997E-5,9.9999997E-5,0.0099999998,0.0099999998,0.146515,0.146515,0.78192002,0.70520598,1.125231,1.97061,0.3464323,0.3464323,0.14760715,0.22495191,0.38324282,1.5083642,0.021599,0.021599,0.511163,0.97666901,1.462557,2.337584,0.46154317,0.46154317,0.21351966,0.3833043,0.54758328,2.4460187,1.2226329E-40,false,1.0251343,20.502686,172.56331,-223.6068,-4472.1357,5.0,0.91280597,1.952778,0.99000001," 'Star'   ",1,41661,0,0,0,0,0,0
12255057,1,178.364690600306,-2.02771965,9.9999997E-5,0.0099999998,9.9999997E-5,9.9999997E-5,0.0099999998,0.0099999998,24.399719,24.399719,55.732307,73.02076,81.542175,85.701721,0.73602831,0.73602831,1.1172473,1.2927841,1.3399012,2.3506517,23.158493,23.158493,53.844639,69.859131,76.364395,83.231445,0.7382223,0.7382223,0.35868916,0.567756,0.82058841,3.3493366,1.2226329E-40,false,1.1798139,1.9821974,136.00273,0.013984895,0.023495931,5.0,0.75659001,1.730822,0.99000001," 'Star'   ",1,41773,0,0,0,0,0,0
11229285,1,178.413151409907,-2.03064076,9.9999997E-5,0.0099999998,9.9999997E-5,9.9999997E-5,0.0099999998,0.0099999998,0.061760999,0.061760999,0.149755,0.058130998,-0.103368,7.9275169,0.34992078,0.34992078,0.14394103,0.22311305,0.38127768,1.5309072,-0.51089197,-0.51089197,0.37507001,-0.050030999,-4.6767659,13.482242,0.67856425,0.67856425,0.33829761,0.53331155,1.3173653,5.8771696,1.2226329E-40,false,1.0251343,20.502686,179.1221,-223.6068,-4472.1357,5.0,-9999.0,-9999.0,0.0099999998," 'Galaxy' ",1,23777,0,0,0,0,0,0
12411123,1,178.338305187572,-2.05289189,9.9999997E-5,0.0099999998,9.9999997E-5,9.9999997E-5,0.0099999998,0.0099999998,0.044006001,0.044006001,0.90900999,3.351213,5.4949989,8.0533218,0.34697011,0.34697011,0.15010743,0.23780924,0.39798787,1.5217986,-0.247687,-0.247687,0.91729802,2.83376,5.813313,3.1183901,0.68649864,0.68649864,0.26310891,0.4836466,0.76065689,3.5342972,1.2226329E-40,false,1.26144,1.6980492,60.214172,0.16125162,0.21706398,5.0,0.69244802,1.226997,0.99000001," 'Star'   ",1,44511,0,0,0,0,0,0
